coin_name,coin_symbol,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,price,volume_24h
bitcoin,BTC,751731236136.5996,0.478514,1.83533047,2.58162867,39616.094318781135,16425590599.346375
ethereum,ETH,320176865103.35895,0.17580832,2.44454712,-2.23949814,2671.683747625882,7629531442.659138
tether,USDT,79728452640.47206,-0.00760723,-0.01021912,-0.0296577,1.0001931451767478,37720407321.92371
bnb,BNB,63843271654.3955,0.36872645,4.50240521,5.49906495,386.6553056774629,1249326307.7082036
usd-coin,USDC,52907998029.596855,0.04090846,0.07025435,0.03783611,0.9998714022545727,2569098337.9831467
xrp,XRP,36329241505.635155,0.14332411,6.46442832,3.71614596,0.7576597738989685,2240219054.479712
terra-luna,LUNA,32529342579.11512,0.94137479,6.31434335,16.32628837,88.07006209946994,2739082717.8058405
cardano,ADA,29288275950.186726,0.4512495,4.89967131,0.79894712,0.8697459413450653,685745426.5936716
solana,SOL,28817698138.75795,0.28361103,3.40484787,2.61255263,89.85037031383058,1336473316.8846884
avalanche,AVAX,20434972761.83248,0.31098908,3.66594028,-3.17483805,76.94945078656701,897496470.1325147
binance-usd,BUSD,17974203960.71893,-0.02106051,0.17662311,0.23884021,1.0012275662029184,2999947436.8599153
polkadot-new,DOT,17145296455.532658,0.07855096,6.19985862,-1.73752364,17.360931112938207,706140549.659037
dogecoin,DOGE,16645601126.248056,0.27193688,2.79724377,0.14059553,0.1254654800105146,311648726.8183222
terrausd,UST,13597412590.75417,-0.2900911,-0.41227308,0.00042604,1.0018072362097605,461235816.498391
shiba-inu,SHIB,13584126644.114513,0.30934387,6.04212083,4.22717945,2.474054843353469e-05,699784138.1225241
polygon,MATIC,11523812819.9192,0.49269421,3.50444688,2.51029566,1.5169396600805114,531126051.02611625
wrapped-bitcoin,WBTC,10548041583.160078,0.43633051,1.45241699,2.04617221,39568.453653364304,147647746.20426482
cronos,CRO,10384994966.190168,0.42618098,4.25011671,0.52640834,0.41107506383843545,55267877.24017142
multi-collateral-dai,DAI,9715994386.201527,0.02388257,0.03848921,0.12219014,1.000337917156631,201736819.96868354
cosmos,ATOM,8767295877.43682,-0.71905966,2.27247299,5.65787334,30.615241766630636,943588850.2220583
litecoin,LTC,7343254412.3848715,0.25100056,4.63548017,-1.22631553,105.23715162575988,517953388.0703669
near-protocol,NEAR,6854001990.912912,1.16027637,4.38524578,21.39964601,10.631241393538982,458958658.5946951
chainlink,LINK,6581852683.054616,0.4940433,3.84774509,-1.1141803,14.093614766146874,403051730.55197924
uniswap,UNI,6224483296.913952,0.50709283,3.31055495,3.27090759,9.0580137602862,134581258.0681569
tron,TRX,6162595647.098541,0.09694626,4.35818504,2.57945311,0.060579370795642205,637807775.0438828
wrapped-tron,WTRX,6148453943.535914,0.07415454,-0.07189738,-0.07189738,0.06044035542730374,1171109.346788
ftx-token,FTT,5689881943.087114,0.40121559,3.10370327,-3.2509064,41.32224394753266,66250504.14232454
bitcoin-cash,BCH,5616759853.531075,0.33812221,3.12425753,-4.31281493,295.6127162339253,3559368830.086731
algorand,ALGO,5133717363.140746,0.2007067,3.35545347,-7.03777606,0.7754102157297573,165484957.5704343
unus-sed-leo,LEO,5083809944.917755,-0.17662777,-1.10943666,-11.86285648,5.329197479251707,5959478.11535426
decentraland,MANA,4729730731.904781,1.08904254,6.00060955,0.73370139,2.581607025672985,319490776.4469314
stellar,XLM,4453007029.636892,0.42105559,4.46705553,-3.13026813,0.18126662970622495,207462188.96632314
fantom,FTM,4328352371.668473,0.92572689,4.3931459,-1.330611,1.7007236554141385,811618091.8120729
bitcoin-bep2,BTCB,4159813650.0344286,0.30827828,1.8835231,2.02062147,39559.42113792449,17228098.76639786
hedera,HBAR,4135668125.6512136,0.32185994,4.02623982,-2.61997623,0.21137708586920334,38620348.36070589
ethereum-classic,ETC,3732687973.8171554,0.27477928,2.90660631,-0.30990639,27.99010655227799,266009551.35011357
internet-computer,ICP,3702764425.9235396,0.60792103,4.20293427,3.01838585,17.757272843607403,144520970.64038318
the-sandbox,SAND,3419511421.825268,1.10054278,5.22589666,2.31049196,3.0397149320201744,502769553.7014566
filecoin,FIL,3323368960.1328564,0.75062738,4.14932275,3.52311846,19.241007812648476,192770443.84063166
vechain,VET,3265398088.1513,0.18099263,5.19792458,8.50738367,0.050771496440275836,225108956.17025548
axie-infinity,AXS,3180947253.838804,0.86543391,6.03147998,7.12945262,52.22587126115509,246680777.21052605
monero,XMR,3083130195.8988776,2.11337533,8.07481588,10.4925103,170.44806964622964,115928444.78301257
klaytn,KLAY,3043022196.6048284,0.27744882,1.66119813,-3.48322057,1.1535706879885539,45263854.19991612
elrond-egld,EGLD,2988002752.7796197,0.22774222,6.0021666,0.57429955,138.3054480460358,131670085.60262288
theta-network,THETA,2907896632.9149995,1.32046812,5.07251915,6.54848382,2.9078966329149996,133287929.42527919
tezos,XTZ,2810988234.736337,0.55979444,5.27662883,-3.5073873,3.1710170120587056,72085854.387934
